lat,lng,atclCfmYmd,atclNm,market_price,year,household_count,subway_line,subway_name,subway_distance,spc2,atclFetrDesc,tagList,현관구조,parking_per_household,min_floor,max_floor,direction,rooms,bath_rooms,location,atclNo
37.665068,127.05336,24.08.06.,상계주공11단지,35000,1988,1944,7호선,마들역,226.0,68.86,"정상,올수리 로얄동층,방3개  융자무,저렴","['25년이상', '융자금없는', '올수리', '대단지']",복도식,0.47,8,15,남향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 652&service=opensearch,https://fin.land.naver.com/articles/2438487380
37.663585,127.065087,24.07.27.,보람,33000,1988,3315,7호선,마들역,650.0,68.99,28 올수리 7호선마들역10분 학군우수생활권좋아요,"['25년이상', '융자금없는', '올수리', '대단지']",복도식,0.75,15,15,남향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 639&service=opensearch,https://fin.land.naver.com/articles/2436936295
37.53509,126.844,24.08.07.,중앙하이츠,34000,1988,473,2호선,까치산역,548.0,74.16,A급 특리모델링중 9월1일부터 이사 언제든 가능,"['25년이상', '역세권', '방세개', '화장실한개']",복도식,0.46,2,12,남향,3,1,https://map.kakao.com/?q=서울시 강서구 화곡동 351-89&service=opensearch,https://fin.land.naver.com/articles/2438635004
37.663026,127.060515,24.08.05.,상계주공9단지,35000,1988,2830,7호선,마들역,249.0,66.56,올수리,"['25년이상', '올수리', '역세권', '대단지']",복도식,0.68,13,15,남향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 670&service=opensearch,https://fin.land.naver.com/articles/2438365687
37.666523,127.059496,24.08.06.,상계주공12단지,37000,1988,1739,7호선,마들역,157.0,66.56,"올샷시,욕실등 전체올수리,남향,마들역2분,초중고인접","['25년이상', '올수리', '역세권', '대단지']",복도식,0,6,15,남향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 647&service=opensearch,https://fin.land.naver.com/articles/2438541929
37.667476,127.059291,24.08.16.,상계주공12단지,34000,1988,1739,7호선,마들역,157.0,66.56,"정상,올수리 로얄동층,방3개 융자무","['25년이상', '융자금없는', '올수리', '역세권']",복도식,0.47,4,15,남향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 647&service=opensearch,https://fin.land.naver.com/articles/2440239062
37.665068,127.05336,24.08.14.,상계주공11단지,35000,1988,1944,7호선,마들역,226.0,68.86,"올수리, 남향집, 상경중, 마들역, 동부간선 편리","['25년이상', '올수리', '대단지', '방세개']",복도식,0.3,8,15,남향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 652&service=opensearch,https://fin.land.naver.com/articles/2440017599
37.663026,127.060515,24.08.14.,상계주공9단지,35000,1988,2830,7호선,마들역,249.0,66.56,28. 빠른입주가능 올수리 깨끗한집,"['25년이상', '융자금없는', '올수리', '역세권']",복도식,0.68,13,15,남향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 670&service=opensearch,https://fin.land.naver.com/articles/2440041773
37.650647,127.049754,24.08.16.,동아,40000,1988,600,4호선,창동역,409.0,89.45,특올수리 님향 로얄동 입주협의 이마트 하나로마트 접금 용이함,"['25년이상', '올수리', '방세개', '화장실두개']",계단식,0.75,8,15,남향,3,2,https://map.kakao.com/?q=서울시 도봉구 창동 26&service=opensearch,https://fin.land.naver.com/articles/2440279118
37.650647,127.049754,24.08.09.,동아,40000,1988,600,4호선,창동역,409.0,89.45,"전체특올수리,남향,정상입주,융자무,교통편리","['25년이상', '올수리', '방세개', '화장실두개']",계단식,0.78,8,15,남향,3,2,https://map.kakao.com/?q=서울시 도봉구 창동 26&service=opensearch,https://fin.land.naver.com/articles/2439097923
